Name,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,NG years,PO years,TO years
"Musa, Dzanan",1632240,1911600,2002800,3615054,,,0,0,2
"Muscala, Mike",5000000,,,,,,0,0,0
"Mykhailiuk, Sviatoslav",1487694,1416852,1663861,,,,2,0,0
"Nader, Abdel",1378242,1618520,1752950,,,,0,0,1
"Nance Jr., Larry",2272391,12700000,11684000,10668000,9652000,,0,0,0
"Napier, Shabazz",1942422,1845301,,,,,1,0,0
"Neto, Raul",2150000,2150000,,,,,1,0,0
"Niang, Georges",1512601,1645357,1783557,,,,2,0,0
"Noel, Nerlens",1757429,1988119,,,,,0,1,0
"Nowitzki, Dirk",5000000,,,,,,0,0,0
"Ntilikina, Frank",4155720,4855800,6176578,,,,0,0,1
"Nunnally, James",1349383,1588231,,,,,2,0,0
"Nurki?, Jusuf",11111111,12000000,12888889,12000000,,,0,0,0
"Nwaba, David",1512601,,,,,,0,0,0
"Ojeleye, Semi",1378242,1618520,1752950,,,,1,0,1
"Okafor, Jahlil",1567007,1702486,,,,,0,0,1
"Okobo, Elie",1238464,1416852,1663861,1802057,,,1,0,1
"Okogie, Josh",2160720,2530680,2651040,4087904,,,0,0,2
"Oladipo, Victor",21000000,21000000,21000000,,,,0,0,0
"Olynyk, Kelly",12537527,13067885,13598243,,,,0,1,0
"O'Neale, Royce",1378242,1618520,,,,,2,0,0
"O'Quinn, Kyle",4449000,,,,,,0,0,0
"Osman, Cedi",2775000,2907143,,,,,0,0,0
"Pachulia, Zaza",1512601,,,,,,0,0,0
"Parker, Jabari",20000000,20000000,,,,,0,0,1
"Parker, Tony",5000000,5250000,,,,,1,0,0
"Parsons, Chandler",24107258,25102511,,,,,0,0,0
"Patterson, Patrick",5451600,5711200,,,,,0,1,0
"Patton, Justin",2667600,3117240,4781846,,,,0,0,2
"Paul, Chris",35654150,38506482,41358814,44211146,,,0,0,0
"Payne, Cameron",3263294,,,,,,0,0,0
"Payton, Elfrid",3000000,,,,,,0,0,0
"Plumlee, Mason",12917808,14041096,,,,,0,0,0
"Plumlee, Miles",12500000,12500000,,,,,0,0,0
"Poeltl, Jakob",2947320,3754886,,,,,0,0,0
"Pondexter, Quincy",1512601,,,,,,1,0,0
"Porter Jr., Michael",2894160,3389400,3550800,5258735,,,0,0,2
"Portis, Bobby",2494346,,,,,,0,0,0
"Porzingis, Kristaps",5697054,,,,,,0,0,0
"Powell, Dwight",9631250,10259375,,,,,0,1,0
"Powell, Norman",9367200,10116576,10865952,11615328,,,0,1,0
"Prince, Taurean",2526840,3481986,,,,,0,0,0
"Qi, Zhou",1378242,1618520,1752950,,,,2,0,1
"Rabb, Ivan",1378242,1618520,,,,,1,0,0
"Randle, Julius",8641000,9073050,,,,,0,1,0
"Randolph, Zach",11692308,,,,,,0,0,0
"Redick, J.J.",12250000,,,,,,0,0,0
"Reed, Davon",1378242,1618520,1752950,,,,1,0,1
"Richardson, Josh",9367200,10116576,10865952,11615328,,,0,1,0
"Richardson, Malachi",1569360,2581597,,,,,0,0,1
"Roberson, Andre",10000000,10740740,,,,,0,0,0
"Robinson III, Glenn",4075000,4278750,,,,,0,0,1
"Robinson, Jerome",3046200,3567720,3737520,5340916,,,0,0,2
"Robinson, Mitchell",1485440,1559712,1663861,1802057,,,1,0,1
"Rondo, Rajon",9000000,,,,,,0,0,0
"Rose, Derrick",1512601,,,,,,0,0,0
"Ross, Terrence",10500000,,0,,,,0,0,0
"Rozier III, Terry",3050390,,,,,,0,0,0
"Rubio, Ricky",14975000,,,,,,0,0,0
"Russell, D'Angelo",7019698,,,,,,0,0,0
"Sabonis, Domantas",2659800,3529555,,,,,0,0,0
"Saric, Dario",2526840,3481986,,,,,0,0,1
"Schroder, Dennis",15500000,15500000,15500000,,,,0,0,0
"Scott, Mike",4320500,,,,,,0,0,0
"Sefolosha, Thabo",5250000,,,,,,0,0,0
"Selden, Wayne",1544951,,,,,,0,0,0
"Sexton, Collin",4068600,4764960,4991880,6349671,,,0,0,2
"Shamet, Landry",1703640,1995120,2090040,3768342,,,0,0,2
"Shumpert, Iman",11011234,,,,,,0,0,0
"Siakam, Pascal",1544951,2351839,,,,,0,0,1
"Simmons, Ben",6434520,8113930,,,,,0,0,1
"Simmons, Jonathon",6000000,5700000,,,,,1,0,0
"Simons, Anfernee",1835520,2149560,2252040,3938818,,,0,0,2
"Smart, Marcus",11660716,12553572,13446428,14339285,,,0,0,0
"Smith Jr., Dennis",3819960,4463640,5686677,,,,0,0,1
"Smith, Ish",6000000,,,,,,0,0,0
"Smith, J.R.",14720000,15680000,,,,,1,0,0
"Smith, Zhaire",2611800,3058800,3204600,4915856,,,0,0,2
"Snell, Tony",10607143,11392857,12178571,,,,0,1,0
"Spalding, Raymond",838464,1416852,1663861,1802057,,,3,0,0
"Spellman, Omari",1620480,1897800,1988280,3588845,,,0,0,2
"Stauskas, Nik",1512601,,,,,,0,0,0
"Stephenson, Lance",4449000,,,,,,0,0,0
"Swanigan, Caleb",1740000,2033160,3665787,,,,0,0,1
"Tatum, Jayson",6700800,7830000,9897120,,,,0,0,2
"Teague, Jeff",19000000,19000000,,,,,0,1,0
"Temple, Garrett",8000000,,,,,,0,0,0
"Teodosic, Milos",6300000,,,,,,0,0,0
"Theis, Daniel",1378242,,,,,,0,0,0
"Thomas, Isaiah",1512601,,,,,,0,0,0
"Thomas, Khyri",838464,1416852,1663861,,,,1,0,0
"Thomas, Lance",7119650,7583975,,,,,1,0,0
"Thompson, Klay",18988725,,,,,,0,0,0
"Thompson, Tristan",17469565,18539130,,,,,0,0,0
"Thornwell, Sindarius",1378242,1618520,,,,,1,0,0
"Tolliver, Anthony",5750000,,,,,,0,0,0
"Towns, Karl-Anthony",7839435,27250000,28612500,29975000,31337500,32700000,0,0,0
"Trent Jr., Gary",838464,1416852,1663861,,,,0,0,0
"Tucker, P.J.",7969537,8349039,7969537,,,,1,0,0
"Turner, Evan",17868853,18606556,,,,,0,0,0
"Turner, Myles",3410284,16000000,17280000,18560000,19840000,,0,0,0
"Udoh, Ekpe",3360000,,,,,,0,0,0
"Valanciunas, Jonas",16539326,17617976,,,,,0,1,0
"Valentine, Denzel",2280600,3377569,,,,,0,0,1
"Vanderbilt, Jarred",838464,1416852,1663861,,,,1,0,0
"VanVleet, Fred",8653847,9346153,,,,,0,0,0
"Vonleh, Noah",1512601,,,,,,1,0,0
"Vucevic, Nikola",12750000,,,,,,0,0,0
"Wade, Dwyane",1512601,,,,,,0,0,0
"Wagner, Moritz",1762080,2063520,2161920,3893618,,,0,0,2
"Waiters, Dion",11550000,12100000,12650000,,,,0,0,0
"Walker IV, Lonnie",2357160,2760480,2892000,4447896,,,0,0,2
"Walker, Kemba",12000000,,,,,,0,0,0
"Wallace, Tyrone",1349383,1588231,,,,,2,0,0
"Wanamaker, Brad",838464,,,,,,0,0,0
"Warren, T.J.",11750000,10810000,11750000,12690000,,,0,0,0
"Westbrook, Russell",35654150,38506482,41358814,44211146,47063478,,0,0,0
"White, Derrick",1667160,1948080,3516284,,,,0,0,1
"Whiteside, Hassan",25434263,27093018,,,,,0,1,0
"Wiggins, Andrew",25467250,27504630,29542010,31579390,33616770,,0,0,0
"Williams III, Robert",1654440,1937520,2029920,3661978,,,0,0,2
"Williams, Kenrich",838464,1416852,,,,,2,0,0
"Williams, Lou",8000000,8000000,8000000,,,,1,0,0
"Williams, Marvin",14087500,15006250,,,,,0,1,0
"Williams, Troy",1512601,1645357,,,,,2,0,0
"Wilson, D.J.",2534280,2961120,4548281,,,,0,0,2
"Winslow, Justise",3448926,13000000,13000000,13000000,,,0,0,1
"Wood, Christian",1512601,1645357,,,,,2,0,0
"Wright, Delon",2536898,,,,,,0,0,0
"Yabusele, Guerschon",2667600,3117240,4781846,,,,0,0,2
"Young, Thaddeus",13764045,,,,,,0,0,0
"Young, Trae",5356440,6273000,6571800,8326471,,,0,0,2
"Zeller, Cody",13528090,14471910,15415730,,,,0,0,0
"Zizic, Ante",1952760,2281800,3872215,,,,0,0,2
"Zubac, Ivica",1544951,,,,,,0,0,0
